customer_id,age,income,employment_years,credit_score,num_dependents,loan_amount,loan_term_months,loan_purpose,past_defaults,default
31,59,6901.0,18.0,686.0,2,11709.0,24,Car,0,0
32,54,4061.0,8.0,688.0,1,11183.0,12,Home,1,0
33,42,4304.0,1.0,713.0,0,22724.0,48,Car,0,1
34,51,6679.0,22.0,748.0,4,2000.0,60,Home,0,0
35,48,5914.0,21.0,850.0,2,18307.0,12,Car,0,0
36,55,6456.0,9.0,849.0,1,19938.0,48,Car,0,0
37,54,4969.0,10.0,777.0,1,19082.0,12,Education,0,0
38,33,4662.0,7.0,695.0,3,14138.0,12,Education,0,0
39,61,5356.0,23.0,560.0,0,15038.0,36,Car,2,0
40,24,6108.0,17.0,604.0,2,12591.0,12,Business,0,0
41,63,5389.0,19.0,612.0,2,11438.0,24,Education,0,0
42,26,7492.0,16.0,644.0,1,30268.0,36,Car,0,0
43,21,5425.0,12.0,590.0,3,26405.0,60,Home,0,0
44,32,3119.0,19.0,635.0,4,13599.0,60,Home,0,0
45,55,6773.0,23.0,826.0,4,16966.0,48,Education,0,0
46,31,8094.0,19.0,680.0,3,3099.0,36,Other,0,0
47,43,6826.0,13.0,608.0,1,18811.0,24,Car,0,0
48,34,7533.0,18.0,785.0,4,12085.0,12,Home,1,0
49,39,4485.0,24.0,631.0,0,22400.0,60,Home,2,0
50,57,6599.0,2.0,629.0,1,25026.0,48,Car,2,0
51,36,7044.0,4.0,748.0,1,22421.0,60,Business,0,0
52,64,5910.0,10.0,620.0,2,9133.0,12,Education,1,0
53,48,3757.0,21.0,584.0,0,13051.0,12,Other,0,0
54,51,6200.0,16.0,758.0,0,19239.0,60,Car,1,0
55,27,8467.0,8.0,769.0,3,26532.0,60,Education,0,0
56,47,5109.0,0.0,586.0,2,28373.0,24,Education,0,0
57,37,9847.0,8.0,637.0,1,17480.0,36,Education,1,0
58,27,5675.0,2.0,559.0,4,16831.0,60,Education,0,0
59,35,6662.0,11.0,623.0,4,39487.0,60,Home,0,0
60,60,4175.0,10.0,737.0,1,18034.0,48,Car,2,1
61,32,2098.0,6.0,584.0,2,16595.0,36,Home,1,0
62,28,7638.0,13.0,698.0,0,20221.0,48,Business,0,0
63,22,7093.0,0.0,727.0,4,12958.0,36,Education,0,0
64,64,1500.0,20.0,788.0,3,13512.0,36,Education,0,0
65,58,5589.0,17.0,819.0,3,4804.0,60,Home,1,0
66,46,5260.0,10.0,587.0,2,23561.0,24,Car,2,0
67,41,7596.0,5.0,644.0,0,22990.0,48,Business,1,0
68,33,7262.0,14.0,614.0,0,25549.0,24,Education,0,0
69,39,4263.0,20.0,586.0,0,18040.0,24,Car,1,0
70,38,7752.0,21.0,704.0,0,19188.0,12,Home,0,0
71,22,5931.0,2.0,589.0,0,12335.0,48,Home,0,0
72,62,6186.0,21.0,607.0,2,18489.0,12,Car,1,0
73,48,6822.0,21.0,751.0,1,12106.0,24,Car,0,0
74,43,7550.0,16.0,738.0,4,14288.0,24,Business,1,0
75,24,2834.0,8.0,631.0,1,18179.0,24,Home,0,0
76,24,4366.0,1.0,698.0,2,15956.0,60,Business,0,0
77,32,3534.0,18.0,584.0,0,18377.0,48,Education,0,0
78,42,6990.0,7.0,649.0,4,12360.0,48,Business,0,0
79,46,10053.0,1.0,595.0,2,2000.0,24,Home,0,0
80,60,4003.0,18.0,675.0,3,24856.0,48,Education,1,0
81,62,4502.0,1.0,790.0,3,18230.0,60,Education,0,0
82,55,7301.0,4.0,671.0,2,22584.0,48,Home,0,0
83,24,8092.0,18.0,800.0,4,21598.0,60,Business,0,0
84,32,6943.0,5.0,755.0,1,15792.0,12,Business,0,0
85,24,6567.0,18.0,787.0,0,19526.0,36,Home,1,0
86,51,3385.0,7.0,653.0,2,28539.0,24,Education,1,0
87,27,5405.0,16.0,722.0,0,10468.0,24,Education,0,0
88,30,5861.0,6.0,723.0,3,16734.0,12,Business,1,0
89,44,9133.0,23.0,802.0,1,7345.0,48,Business,0,0
90,35,5791.0,1.0,495.0,0,12272.0,36,Home,0,0
91,59,5801.0,11.0,652.0,2,20663.0,24,Other,1,0
92,40,5610.0,18.0,734.0,0,33927.0,48,Education,1,0
93,27,4072.0,19.0,724.0,3,2752.0,24,Car,2,0
94,33,9649.0,16.0,699.0,4,8074.0,36,Car,0,0
95,48,4500.0,6.0,728.0,2,17999.0,36,Business,0,0
96,59,4320.0,6.0,758.0,3,12830.0,48,Education,0,0
97,38,6595.0,22.0,741.0,2,22118.0,48,Other,0,0
98,31,4386.0,3.0,778.0,2,24616.0,36,Education,1,1
99,56,6744.0,13.0,714.0,2,27379.0,24,Business,0,0
100,56,8558.0,6.0,726.0,4,16368.0,12,Education,0,0
101,22,3842.0,11.0,610.0,0,10722.0,60,Car,0,0
102,37,5353.0,0.0,569.0,1,4126.0,60,Other,1,0
103,26,5100.0,1.0,610.0,0,20792.0,36,Home,0,1
104,61,6511.0,14.0,580.0,4,19303.0,24,Other,0,0
105,43,7412.0,11.0,727.0,1,8808.0,60,Home,1,0
106,36,4172.0,2.0,694.0,2,26555.0,48,Education,1,0
107,61,6074.0,11.0,734.0,0,11967.0,48,Education,1,0
108,46,4995.0,6.0,693.0,3,14881.0,12,Car,0,0
109,21,6580.0,23.0,721.0,1,6032.0,24,Home,2,0
110,56,4238.0,1.0,621.0,2,31112.0,60,Education,0,1
111,50,5766.0,2.0,811.0,4,21621.0,12,Car,2,0
112,22,7297.0,3.0,675.0,4,6951.0,24,Other,0,0
113,40,5908.0,24.0,641.0,0,30547.0,12,Car,0,1
114,25,7278.0,3.0,748.0,0,8219.0,12,Home,0,0
115,51,5672.0,4.0,701.0,0,2000.0,24,Car,0,0
116,28,7510.0,20.0,730.0,2,14078.0,24,Car,0,0
117,50,4025.0,3.0,746.0,2,15093.0,48,Business,0,0
118,59,4305.0,8.0,621.0,4,22999.0,24,Education,0,0
119,22,9008.0,17.0,609.0,2,18731.0,24,Car,0,0
120,33,6122.0,22.0,659.0,1,18922.0,24,Home,0,0
121,24,8935.0,19.0,616.0,3,20254.0,60,Car,0,0
122,28,8490.0,21.0,665.0,3,20924.0,48,Home,0,0
123,59,6513.0,4.0,534.0,0,24165.0,36,Education,0,0
124,45,4065.0,20.0,651.0,4,22389.0,36,Home,2,1
125,27,7190.0,12.0,732.0,3,15007.0,24,Car,0,0
126,34,4821.0,19.0,726.0,2,11263.0,12,Car,0,0
127,49,4916.0,7.0,658.0,2,12831.0,36,Business,0,0
128,41,4328.0,17.0,602.0,1,11631.0,60,Home,0,1
129,57,5520.0,10.0,636.0,4,19987.0,48,Business,0,0
130,53,5684.0,1.0,709.0,0,19814.0,12,Home,0,0
131,61,4809.0,12.0,617.0,4,20379.0,12,Education,0,1
132,45,3343.0,2.0,732.0,2,14593.0,60,Car,0,0
133,34,5777.0,8.0,688.0,4,21233.0,36,Other,0,0
134,29,3560.0,11.0,559.0,1,31118.0,24,Car,0,0
135,35,6933.0,10.0,644.0,2,18936.0,48,Car,1,0
136,27,4659.0,11.0,635.0,4,6169.0,36,Education,0,0
137,22,2713.0,10.0,715.0,1,6975.0,36,Business,0,0
138,51,3739.0,6.0,562.0,1,15931.0,12,Education,0,0
139,27,6026.0,6.0,672.0,4,20010.0,48,Home,1,0
140,61,6680.0,5.0,635.0,3,28895.0,60,Education,0,0
141,31,6516.0,3.0,616.0,2,22873.0,36,Other,0,0
142,33,3823.0,1.0,570.0,0,27399.0,36,Education,0,1
143,33,7652.0,11.0,484.0,2,16970.0,48,Home,0,0
144,46,7914.0,12.0,570.0,2,18417.0,48,Other,0,0
145,63,7541.0,12.0,731.0,1,14637.0,36,Business,0,0
146,28,7442.0,19.0,850.0,3,18204.0,24,Car,0,0
147,34,6235.0,21.0,755.0,0,25391.0,48,Home,0,0
148,22,7138.0,17.0,600.0,2,14501.0,36,Home,0,0
149,62,8552.0,8.0,846.0,3,4665.0,12,Business,0,0
150,35,6285.0,5.0,658.0,0,9185.0,36,Other,0,0
151,44,5593.0,7.0,704.0,1,4450.0,12,Business,0,0
152,54,4732.0,8.0,701.0,3,32246.0,36,Home,1,1
153,24,3640.0,16.0,724.0,0,23369.0,12,Car,0,0
154,38,9148.0,21.0,693.0,3,8389.0,48,Education,0,0
155,45,6593.0,14.0,759.0,2,21810.0,36,Car,0,0
156,44,9093.0,15.0,451.0,4,24530.0,48,Education,0,0
157,26,7495.0,23.0,514.0,1,12911.0,48,Other,1,0
158,54,7262.0,5.0,630.0,4,16775.0,12,Business,1,0
159,58,9088.0,5.0,743.0,2,19497.0,48,Car,0,0
160,23,6097.0,5.0,684.0,2,14948.0,36,Education,0,0
161,39,5232.0,15.0,548.0,1,20342.0,24,Car,0,0
162,56,4017.0,24.0,850.0,1,15520.0,60,Business,0,1
163,39,4539.0,22.0,790.0,4,6400.0,12,Home,0,0
164,48,3862.0,19.0,657.0,1,9585.0,60,Car,0,0
165,30,5592.0,15.0,616.0,0,27138.0,60,Car,0,0
166,38,3256.0,9.0,665.0,4,9334.0,36,Car,1,0
167,24,3064.0,23.0,850.0,2,25613.0,12,Other,0,0
168,32,2502.0,0.0,674.0,1,7441.0,48,Business,0,0
169,47,4802.0,23.0,716.0,1,9502.0,48,Education,0,0
170,49,5562.0,3.0,655.0,0,23058.0,24,Business,0,0
171,32,2469.0,7.0,697.0,1,18558.0,60,Education,0,0
172,31,4961.0,20.0,575.0,2,11739.0,24,Car,0,0
173,24,8708.0,3.0,669.0,1,13207.0,48,Car,0,0
174,44,8388.0,13.0,751.0,2,21288.0,24,Home,0,0
175,46,6267.0,20.0,642.0,4,19141.0,12,Education,0,0
176,48,5113.0,22.0,712.0,1,3992.0,48,Other,0,0
177,24,4168.0,23.0,691.0,2,8207.0,36,Home,0,0
178,56,5727.0,21.0,695.0,1,16418.0,12,Car,0,0
179,35,5836.0,10.0,759.0,4,6228.0,48,Home,0,0
180,42,7599.0,7.0,559.0,0,8221.0,48,Home,0,0
181,44,6914.0,17.0,717.0,1,16503.0,36,Home,0,0
182,44,6197.0,,715.0,1,22337.0,24,Education,0,0
183,57,5903.0,12.0,661.0,4,24310.0,60,Home,0,0
184,25,4406.0,3.0,655.0,1,21062.0,24,Car,0,0
185,26,1692.0,0.0,540.0,1,17832.0,60,Other,0,0
186,30,7171.0,12.0,572.0,0,18306.0,24,Other,0,1
187,23,4801.0,24.0,781.0,4,26995.0,60,Home,0,0
188,58,7634.0,18.0,534.0,0,15468.0,24,Business,0,0
189,54,5425.0,3.0,618.0,2,24973.0,60,Business,0,0
190,26,5670.0,10.0,728.0,1,23064.0,60,Car,0,0
191,30,4623.0,12.0,693.0,1,17003.0,48,Car,0,0
192,36,8277.0,4.0,775.0,2,14464.0,12,Car,0,0
193,49,6200.0,9.0,677.0,1,23650.0,36,Business,0,0
194,23,3881.0,11.0,537.0,4,23798.0,24,Education,0,0
195,31,5067.0,7.0,785.0,4,20782.0,12,Business,1,1
196,57,3257.0,6.0,803.0,3,21466.0,36,Car,0,0
197,24,5955.0,5.0,761.0,1,17118.0,24,Home,0,0
198,24,3498.0,24.0,618.0,3,10996.0,12,Home,0,0
199,44,3260.0,7.0,624.0,3,11927.0,36,Home,2,0
200,48,9649.0,15.0,726.0,0,21843.0,60,Business,0,1
201,55,9797.0,23.0,716.0,0,12337.0,12,Business,0,0
202,58,5934.0,8.0,532.0,1,14377.0,12,Home,0,0
203,44,8133.0,14.0,654.0,4,7626.0,48,Home,0,0
204,42,5035.0,20.0,606.0,0,20069.0,24,Business,0,0
205,46,4907.0,0.0,651.0,1,9682.0,12,Business,0,0
206,38,7004.0,13.0,797.0,1,11771.0,36,Education,0,0
207,23,7308.0,8.0,703.0,3,13185.0,36,Home,0,0
208,31,5808.0,10.0,648.0,1,20558.0,12,Education,1,0
209,29,8321.0,8.0,661.0,3,35052.0,60,Car,0,0
210,53,8624.0,15.0,831.0,4,15639.0,24,Home,0,0
211,46,7759.0,16.0,736.0,2,13838.0,24,Business,1,0
212,56,5961.0,17.0,782.0,4,10705.0,24,Business,2,1
213,24,9078.0,5.0,684.0,2,26062.0,48,Business,0,0
214,22,8385.0,24.0,564.0,3,26996.0,24,Home,0,0
215,28,5189.0,5.0,549.0,1,4813.0,36,Car,0,0
216,27,6433.0,6.0,533.0,3,20208.0,36,Home,2,1
217,56,6408.0,0.0,711.0,2,7887.0,48,Home,0,0
218,54,1683.0,8.0,691.0,0,8461.0,24,Home,1,0
219,60,5194.0,15.0,833.0,3,20021.0,24,Other,0,0
220,39,6355.0,3.0,818.0,1,9895.0,12,Car,0,0
221,49,7129.0,10.0,512.0,1,11986.0,48,Education,0,0
222,59,7990.0,18.0,511.0,1,11671.0,48,Education,0,0
223,26,6766.0,23.0,623.0,4,23990.0,36,Car,0,0
224,30,4091.0,15.0,639.0,4,13004.0,36,Car,0,0
225,61,5729.0,14.0,722.0,4,23127.0,24,Education,0,1
226,62,9292.0,6.0,622.0,0,20230.0,48,Home,0,0
227,25,8641.0,1.0,601.0,0,22994.0,48,Home,0,0
228,44,5422.0,4.0,751.0,1,26565.0,48,Home,1,0
229,61,5820.0,9.0,641.0,0,18011.0,12,Education,0,0
230,42,7262.0,23.0,606.0,3,23928.0,48,Education,0,0
231,46,4302.0,0.0,674.0,4,26261.0,12,Car,1,0
232,57,6182.0,8.0,726.0,3,19434.0,12,Business,0,0
233,49,7847.0,22.0,718.0,2,26682.0,12,Car,0,0
234,56,4186.0,5.0,829.0,0,22925.0,60,Home,1,0
235,40,8455.0,18.0,696.0,4,14199.0,48,Education,0,0
236,38,5879.0,12.0,703.0,2,12890.0,48,Education,2,0
237,60,5034.0,9.0,702.0,1,11162.0,24,Home,0,0
238,61,3013.0,8.0,798.0,1,15053.0,12,Education,1,0
239,35,6671.0,11.0,747.0,3,18224.0,48,Home,0,0
240,35,6600.0,12.0,663.0,3,10953.0,48,Home,0,0
241,44,3718.0,7.0,658.0,1,20068.0,24,Business,0,0
242,49,1803.0,9.0,744.0,4,18756.0,12,Home,0,0
243,37,5238.0,9.0,635.0,2,27789.0,24,Education,0,0
244,45,3309.0,19.0,528.0,2,15625.0,60,Business,1,0
245,36,2493.0,24.0,770.0,3,14130.0,12,Car,0,0
246,37,5953.0,10.0,745.0,4,13979.0,12,Other,1,0
247,41,5421.0,24.0,767.0,0,24019.0,12,Home,0,0
248,64,4412.0,4.0,674.0,4,19721.0,24,Business,1,0
249,47,4126.0,2.0,570.0,2,30182.0,60,Business,0,0
250,25,6550.0,12.0,715.0,0,15785.0,48,Home,0,0
251,42,6277.0,10.0,565.0,4,17933.0,24,Other,0,0
252,53,8163.0,21.0,602.0,2,17966.0,12,Education,0,0
253,60,5689.0,23.0,679.0,0,19286.0,24,Education,0,0
254,22,2411.0,24.0,778.0,3,30881.0,48,Car,0,1
255,55,4729.0,5.0,665.0,3,18036.0,60,Home,0,0
256,63,4229.0,9.0,747.0,2,16953.0,12,Education,2,0
257,39,5682.0,11.0,646.0,3,17934.0,36,Education,0,0
258,60,3538.0,20.0,803.0,2,15795.0,12,Education,2,0
259,47,3499.0,7.0,692.0,2,25660.0,24,Home,0,0
260,60,3719.0,16.0,524.0,0,30486.0,60,Home,0,0
261,56,5411.0,22.0,770.0,1,13933.0,12,Car,1,0
262,59,7133.0,14.0,732.0,2,8370.0,36,Business,1,0
263,22,5192.0,3.0,710.0,3,6488.0,60,Car,0,0
264,61,5301.0,16.0,738.0,1,32096.0,24,Education,1,0
265,38,8498.0,1.0,635.0,1,23416.0,36,Home,0,0
266,43,8333.0,12.0,651.0,0,20089.0,24,Education,0,0
267,46,5744.0,16.0,732.0,0,22686.0,48,Home,1,0
268,31,4469.0,24.0,678.0,4,30472.0,60,Business,0,1
269,21,7222.0,11.0,627.0,4,16725.0,36,Business,0,0
270,56,6006.0,24.0,629.0,2,19747.0,12,Car,1,0
271,40,8412.0,21.0,850.0,3,19834.0,24,Business,1,0
272,51,6546.0,13.0,685.0,3,23159.0,36,Education,2,0
273,28,4780.0,4.0,663.0,3,22486.0,24,Home,0,0
274,60,4814.0,3.0,781.0,1,26769.0,36,Education,2,0
275,44,7559.0,7.0,579.0,0,8901.0,24,Business,0,0
276,40,5247.0,23.0,601.0,2,11913.0,60,Car,0,1
277,35,4484.0,18.0,579.0,3,12454.0,24,Business,1,0
278,50,9241.0,16.0,701.0,1,9763.0,48,Home,1,0
279,40,3960.0,20.0,697.0,4,14807.0,60,Home,0,0
280,58,3656.0,18.0,708.0,2,12345.0,48,Business,2,0
281,22,6789.0,13.0,585.0,3,6569.0,24,Education,0,0
282,26,5137.0,7.0,638.0,4,19973.0,12,Home,1,0
283,62,6599.0,6.0,754.0,3,20111.0,60,Car,1,0
284,38,5409.0,9.0,639.0,3,16214.0,60,Car,0,0
285,56,6257.0,6.0,704.0,3,13874.0,24,Car,0,0
286,34,5902.0,7.0,724.0,4,6057.0,36,Business,0,0
287,46,4950.0,6.0,544.0,2,11008.0,12,Home,0,0
288,54,7358.0,12.0,672.0,3,12882.0,24,Home,0,0
289,50,5472.0,7.0,581.0,4,16846.0,48,Home,0,0
290,27,6189.0,22.0,687.0,2,28426.0,12,Business,0,0
291,50,6850.0,3.0,731.0,2,26463.0,12,Home,0,0
292,38,4781.0,15.0,707.0,3,18722.0,60,Other,0,0
293,42,5924.0,10.0,648.0,0,17431.0,60,Education,0,0
294,37,7825.0,0.0,730.0,2,26036.0,48,Other,0,0
295,51,5854.0,11.0,668.0,4,11252.0,24,Home,0,0
296,37,6839.0,10.0,791.0,1,18169.0,24,Home,0,0
297,51,5675.0,0.0,594.0,0,10223.0,12,Other,0,0
298,33,6784.0,6.0,824.0,0,9234.0,12,Business,1,0
299,47,5041.0,20.0,589.0,4,19724.0,36,Other,0,0
300,40,6044.0,22.0,566.0,4,20516.0,12,Home,0,1
301,37,7651.0,19.0,706.0,2,28940.0,60,Other,0,0
302,49,8411.0,24.0,712.0,0,28511.0,36,Education,0,0
303,59,5693.0,6.0,508.0,0,19210.0,48,Car,0,0
304,55,5877.0,14.0,809.0,3,25346.0,48,Car,0,0
305,28,5847.0,16.0,677.0,3,25016.0,48,Business,0,0
306,63,7371.0,1.0,664.0,0,5636.0,48,Other,0,0
307,58,2583.0,17.0,688.0,0,20007.0,24,Home,0,1
308,35,8254.0,2.0,724.0,3,9656.0,24,Business,0,0
309,21,3792.0,7.0,659.0,0,29447.0,48,Car,0,0
310,53,5166.0,11.0,812.0,4,21535.0,48,Business,0,0
311,23,7729.0,13.0,718.0,1,17368.0,24,Education,1,0
312,59,5979.0,11.0,698.0,2,13830.0,24,Car,0,0
313,58,6080.0,2.0,447.0,3,17667.0,36,Education,1,0
314,35,6305.0,3.0,773.0,3,22870.0,60,Home,0,0
315,62,6514.0,1.0,545.0,3,13145.0,60,Other,1,0
316,38,5566.0,1.0,566.0,0,11546.0,48,Home,0,0
317,58,5742.0,24.0,657.0,2,21608.0,60,Car,0,0
318,51,8084.0,7.0,672.0,4,22251.0,36,Business,2,0
319,40,7971.0,11.0,709.0,3,23836.0,60,Other,0,0
320,27,10123.0,17.0,578.0,0,24769.0,36,Home,0,0
321,57,8694.0,7.0,723.0,4,9895.0,36,Car,0,0
322,47,7230.0,24.0,610.0,4,12946.0,48,Business,0,0
323,28,7529.0,22.0,755.0,4,28537.0,24,Business,2,0
324,34,7046.0,18.0,631.0,2,6145.0,12,Car,0,0
325,35,6316.0,14.0,727.0,0,13581.0,24,Car,0,0
326,27,3768.0,9.0,647.0,1,22805.0,12,Car,0,1
327,53,6587.0,10.0,693.0,1,12249.0,36,Car,0,0
328,54,4794.0,12.0,671.0,3,19054.0,12,Car,2,0
329,24,6863.0,4.0,691.0,1,29670.0,24,Other,0,1
330,21,7682.0,8.0,652.0,2,20842.0,36,Education,1,0
331,61,3226.0,0.0,563.0,2,3315.0,48,Business,1,0
332,34,7575.0,14.0,555.0,1,18655.0,48,Car,0,0
333,51,5642.0,14.0,745.0,2,25216.0,60,Education,0,0
334,58,7656.0,0.0,737.0,0,17003.0,24,Home,1,0
335,40,7492.0,2.0,587.0,2,19181.0,36,Business,0,0
336,23,4331.0,0.0,808.0,4,20002.0,36,Education,0,0
337,55,5249.0,22.0,610.0,1,12602.0,12,Business,0,0
338,53,6815.0,10.0,596.0,3,23301.0,60,Car,0,0
339,35,3430.0,0.0,630.0,1,13280.0,60,Car,0,0
340,23,5720.0,23.0,673.0,3,16427.0,60,Home,0,0
341,48,8547.0,4.0,695.0,2,11386.0,24,Home,1,0
342,47,7684.0,2.0,564.0,4,23057.0,36,Business,0,1
343,53,,21.0,663.0,2,12489.0,48,Car,1,0
344,39,5006.0,2.0,700.0,1,8922.0,12,Home,0,0
345,53,4702.0,11.0,704.0,4,21031.0,12,Home,2,0
346,51,6868.0,18.0,770.0,2,8170.0,24,Other,0,0
347,24,4976.0,23.0,640.0,4,13636.0,36,Business,1,0
348,52,3856.0,2.0,711.0,0,23757.0,60,Car,0,0
349,62,8370.0,5.0,776.0,2,6532.0,48,Home,0,0
350,48,7784.0,24.0,716.0,4,21079.0,48,Business,0,0
351,36,5659.0,6.0,594.0,2,9484.0,60,Business,0,0
352,63,6914.0,2.0,696.0,4,7477.0,48,Home,0,0
353,48,8929.0,5.0,682.0,0,21468.0,12,Home,0,0
354,35,4633.0,10.0,713.0,1,14608.0,60,Home,0,0
355,42,8560.0,9.0,625.0,1,21956.0,24,Home,2,0
356,51,4078.0,9.0,773.0,4,17469.0,36,Education,0,0
357,41,3963.0,21.0,652.0,4,20631.0,12,Education,1,0
358,52,6330.0,6.0,630.0,3,22207.0,36,Business,0,0
359,27,5140.0,5.0,613.0,4,16280.0,12,Car,0,0
360,53,5838.0,18.0,534.0,2,9636.0,36,Home,0,1
361,28,5565.0,1.0,502.0,4,24164.0,36,Car,0,0
362,34,7721.0,8.0,663.0,4,22758.0,12,Home,1,0
363,45,5237.0,17.0,693.0,1,17525.0,24,Education,1,0
364,52,3751.0,4.0,597.0,0,23882.0,24,Car,0,0
365,48,5806.0,9.0,715.0,1,28682.0,36,Business,1,0
366,22,10325.0,22.0,727.0,2,12988.0,36,Education,0,0
367,37,3942.0,13.0,594.0,1,16346.0,60,Business,0,0
368,47,6286.0,19.0,699.0,1,12401.0,60,Car,0,0
369,22,3711.0,23.0,748.0,3,15886.0,24,Business,0,1
370,28,3212.0,21.0,830.0,2,18060.0,24,Home,0,0
371,58,4885.0,18.0,749.0,2,19853.0,12,Car,0,0
372,40,7514.0,23.0,745.0,4,9219.0,12,Home,1,0
373,57,8473.0,4.0,583.0,3,15324.0,12,Home,0,0
374,41,6180.0,22.0,698.0,3,13909.0,24,Car,0,0
375,46,5722.0,1.0,690.0,0,26493.0,24,Car,1,1
376,51,6928.0,7.0,522.0,2,16968.0,48,Education,0,0
377,40,4924.0,12.0,727.0,1,6192.0,48,Business,0,0
378,26,5790.0,21.0,578.0,3,21167.0,48,Business,0,0
379,35,7289.0,2.0,601.0,2,21265.0,12,Home,0,0
380,21,3138.0,24.0,807.0,3,23340.0,60,Business,0,0
381,46,4953.0,11.0,733.0,4,16954.0,12,Car,1,0
382,49,5674.0,12.0,687.0,3,29861.0,48,Car,0,0
383,22,6820.0,15.0,776.0,4,18319.0,60,Other,0,0
384,42,3088.0,4.0,792.0,0,12171.0,36,Car,0,0
385,49,2730.0,21.0,635.0,3,20784.0,12,Car,1,0
386,29,2280.0,8.0,694.0,4,28071.0,12,Other,0,0
387,61,4545.0,16.0,643.0,1,18577.0,36,Education,0,0
388,41,7308.0,12.0,698.0,3,17071.0,36,Business,0,0
389,52,6812.0,20.0,666.0,4,21245.0,48,Business,1,0
390,52,7597.0,12.0,649.0,1,17761.0,12,Car,1,0
391,64,5696.0,5.0,783.0,2,15417.0,36,Business,0,0
392,60,5707.0,3.0,553.0,1,22645.0,60,Car,0,0
393,46,5753.0,9.0,765.0,0,20031.0,12,Other,0,0
394,33,5135.0,24.0,684.0,3,19153.0,24,Business,0,0
395,23,10564.0,1.0,538.0,4,9003.0,60,Business,1,0
396,52,6694.0,4.0,670.0,0,21922.0,60,Car,0,0
397,53,4451.0,10.0,681.0,1,14176.0,48,Other,0,0
398,53,5617.0,19.0,748.0,2,17512.0,24,Car,0,0
399,62,7635.0,24.0,784.0,2,31011.0,60,Business,0,0
400,62,2526.0,17.0,714.0,0,9880.0,60,Home,0,0
401,33,5523.0,3.0,650.0,4,14770.0,36,Car,0,0
402,63,8001.0,13.0,709.0,2,19626.0,48,Education,0,0
403,26,7090.0,10.0,651.0,3,12777.0,60,Car,1,0
404,24,5182.0,24.0,634.0,1,24826.0,60,Other,0,1
405,58,7559.0,14.0,624.0,3,27650.0,48,Home,0,0
406,26,5810.0,3.0,693.0,3,17365.0,60,Other,0,0
407,23,4237.0,2.0,748.0,1,18353.0,36,Education,0,0
408,47,5639.0,3.0,619.0,2,16475.0,48,Other,0,0
409,60,8384.0,19.0,561.0,4,15149.0,48,Home,0,0
410,40,6811.0,5.0,702.0,1,17076.0,48,Business,0,0
411,38,5959.0,22.0,694.0,3,19844.0,12,Car,0,0
412,40,3277.0,1.0,643.0,4,3313.0,12,Business,0,0
413,50,5375.0,7.0,649.0,2,20435.0,48,Home,0,0
414,30,7416.0,4.0,644.0,2,22650.0,12,Business,2,0
415,43,7628.0,20.0,654.0,2,15062.0,12,Car,0,0
416,23,3003.0,5.0,850.0,3,16213.0,24,Home,0,0
417,29,4092.0,5.0,661.0,3,28701.0,60,Business,2,0
418,39,5539.0,7.0,611.0,4,21776.0,12,Business,0,1
419,56,5333.0,16.0,715.0,1,9767.0,36,Car,0,0
420,60,7133.0,7.0,660.0,3,36019.0,36,Education,0,0
421,47,3188.0,8.0,653.0,1,20238.0,60,Home,0,0
